entry_id,entry_type,relative_path,symbol_or_route,current_owner,business_semantics,phase4_carrier,classification_status,strategy,target_path,target_capability,blocking_tests,drop_phase,risk,notes
legacy:src/app/workline/v1/active_objects.py:route_get_L20,api_route,src/app/workline/v1/active_objects.py,route_get_L20,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/v1/operation.py:route_post_L76,api_route,src/app/workline/v1/operation.py,route_post_L76,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/v1/operation.py:route_post_L167,api_route,src/app/workline/v1/operation.py,route_post_L167,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/v1/workline.py:route_get_L51,api_route,src/app/workline/v1/workline.py,route_get_L51,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/v1/workline.py:route_post_L75,api_route,src/app/workline/v1/workline.py,route_post_L75,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/v1/workline.py:route_post_L107,api_route,src/app/workline/v1/workline.py,route_post_L107,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/v1/workline.py:route_get_L134,api_route,src/app/workline/v1/workline.py,route_get_L134,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/v1/workline.py:route_get_L157,api_route,src/app/workline/v1/workline.py,route_get_L157,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/line_run_epoch.py:LineRunEpochStatus,model,src/app/workline/models/line_run_epoch.py,LineRunEpochStatus,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/line_run_epoch.py:LineRunEpoch,model,src/app/workline/models/line_run_epoch.py,LineRunEpoch,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/line_run_epoch.py:LineRunEpochDeviceBinding,model,src/app/workline/models/line_run_epoch.py,LineRunEpochDeviceBinding,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/line_run_epoch.py:LineRunEpochPositionBinding,model,src/app/workline/models/line_run_epoch.py,LineRunEpochPositionBinding,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/plane.py:PlaneNode,model,src/app/workline/models/plane.py,PlaneNode,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/plane.py:PlaneEdge,model,src/app/workline/models/plane.py,PlaneEdge,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/plane.py:PlaneSceneView,model,src/app/workline/models/plane.py,PlaneSceneView,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/plane.py:PlaneObjectSnapshot,model,src/app/workline/models/plane.py,PlaneObjectSnapshot,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/plane.py:PlaneExtremeState,model,src/app/workline/models/plane.py,PlaneExtremeState,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/plane.py:PlaneSnapshot,model,src/app/workline/models/plane.py,PlaneSnapshot,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/safety.py:WorklineSafetyIncidentStatus,model,src/app/workline/models/safety.py,WorklineSafetyIncidentStatus,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/safety.py:ClearWorkLineEstopRequest,model,src/app/workline/models/safety.py,ClearWorkLineEstopRequest,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/safety.py:SimulateWorkLineEstopRequest,model,src/app/workline/models/safety.py,SimulateWorkLineEstopRequest,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/safety.py:WorklineSafetyIncident,model,src/app/workline/models/safety.py,WorklineSafetyIncident,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/start.py:WorkLineStartRequest,model,src/app/workline/models/start.py,WorkLineStartRequest,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/start.py:WorkLineStartResponse,model,src/app/workline/models/start.py,WorkLineStartResponse,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/start.py:WorkLineStartErrorResponse,model,src/app/workline/models/start.py,WorkLineStartErrorResponse,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:LineType,model,src/app/workline/models/workline.py,LineType,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineRunMode,model,src/app/workline/models/workline.py,WorkLineRunMode,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineBase,model,src/app/workline/models/workline.py,WorkLineBase,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLine,model,src/app/workline/models/workline.py,WorkLine,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineCreate,model,src/app/workline/models/workline.py,WorkLineCreate,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/models/workline.py:WorkLineUpdate,model,src/app/workline/models/workline.py,WorkLineUpdate,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
